episode,agent,reward,steps
293,agente_fixo,23.97,27
293,agente_q,0.74,27
294,agente_fixo,22.97,26
294,agente_q,0.75,26
295,agente_fixo,25.97,29
295,agente_q,0.72,29
296,agente_fixo,6.97,10
296,agente_q,0.91,10
297,agente_fixo,79.97,83
297,agente_q,0.1799999999999995,83
298,agente_fixo,8.969999999999999,12
298,agente_q,0.89,12
299,agente_fixo,1.97,5
299,agente_q,0.96,5
300,agente_fixo,22.97,26
300,agente_q,0.75,26
301,agente_fixo,49.97,53
301,agente_q,0.47999999999999976,53
302,agente_fixo,69.97,73
302,agente_q,0.2799999999999996,73
303,agente_fixo,7.97,11
303,agente_q,0.9,11
304,agente_fixo,49.97,53
304,agente_q,0.47999999999999976,53
305,agente_fixo,29.97,33
305,agente_q,0.6799999999999999,33
306,agente_fixo,36.97,40
306,agente_q,0.6099999999999999,40
307,agente_fixo,126.97,130
307,agente_q,-0.2900000000000009,130
308,agente_fixo,15.969999999999999,19
308,agente_q,0.82,19
309,agente_fixo,4.97,8
309,agente_q,0.9299999999999999,8
310,agente_fixo,91.97,95
310,agente_q,0.05999999999999939,95
311,agente_fixo,8.969999999999999,12
311,agente_q,0.89,12
312,agente_fixo,13.969999999999999,17
312,agente_q,0.84,17
313,agente_fixo,18.97,22
313,agente_q,0.7899999999999999,22
314,agente_fixo,36.97,40
314,agente_q,0.6099999999999999,40
315,agente_fixo,4.97,8
315,agente_q,0.9299999999999999,8
316,agente_fixo,37.97,41
316,agente_q,0.5999999999999999,41
317,agente_fixo,58.97,62
317,agente_q,0.3899999999999997,62
318,agente_fixo,4.97,8
318,agente_q,0.9299999999999999,8
319,agente_fixo,66.97,70
319,agente_q,0.3099999999999996,70
320,agente_fixo,24.97,28
320,agente_q,0.73,28
321,agente_fixo,28.97,32
321,agente_q,0.69,32
322,agente_fixo,22.97,26
322,agente_q,0.75,26
323,agente_fixo,17.97,21
323,agente_q,0.7999999999999999,21
324,agente_fixo,67.97,71
324,agente_q,0.2999999999999996,71
325,agente_fixo,13.969999999999999,17
325,agente_q,0.84,17
326,agente_fixo,36.97,40
326,agente_q,0.6099999999999999,40
327,agente_fixo,26.97,30
327,agente_q,0.71,30
328,agente_fixo,1.97,5
328,agente_q,0.96,5
329,agente_fixo,133.97,137
329,agente_q,-0.360000000000001,137
330,agente_fixo,8.969999999999999,12
330,agente_q,0.89,12
331,agente_fixo,87.97,91
331,agente_q,0.09999999999999942,91
332,agente_fixo,50.97,54
332,agente_q,0.46999999999999975,54
333,agente_fixo,8.969999999999999,12
333,agente_q,0.89,12
334,agente_fixo,9.969999999999999,13
334,agente_q,0.88,13
335,agente_fixo,2.9699999999999998,6
335,agente_q,0.95,6
336,agente_fixo,0.97,4
336,agente_q,0.97,4
337,agente_fixo,5.97,9
337,agente_q,0.92,9
338,agente_fixo,13.969999999999999,17
338,agente_q,0.84,17
339,agente_fixo,31.97,35
339,agente_q,0.6599999999999999,35
340,agente_fixo,169.97,173
340,agente_q,-0.7200000000000013,173
341,agente_fixo,8.969999999999999,12
341,agente_q,0.89,12
342,agente_fixo,22.97,26
342,agente_q,0.75,26
343,agente_fixo,70.97,74
343,agente_q,0.2699999999999996,74
344,agente_fixo,43.97,47
344,agente_q,0.5399999999999998,47
345,agente_fixo,23.97,27
345,agente_q,0.74,27
346,agente_fixo,5.97,9
346,agente_q,0.92,9
347,agente_fixo,2.9699999999999998,6
347,agente_q,0.95,6
348,agente_fixo,7.97,11
348,agente_q,0.9,11
349,agente_fixo,29.97,33
349,agente_q,0.6799999999999999,33
350,agente_fixo,16.97,20
350,agente_q,0.8099999999999999,20
351,agente_fixo,88.97,92
351,agente_q,0.08999999999999941,92
352,agente_fixo,4.97,8
352,agente_q,0.9299999999999999,8
353,agente_fixo,42.97,46
353,agente_q,0.5499999999999998,46
354,agente_fixo,23.97,27
354,agente_q,0.74,27
355,agente_fixo,24.97,28
355,agente_q,0.73,28
356,agente_fixo,48.97,52
356,agente_q,0.48999999999999977,52
357,agente_fixo,12.969999999999999,16
357,agente_q,0.85,16
358,agente_fixo,27.97,31
358,agente_q,0.7,31
359,agente_fixo,0.97,4
359,agente_q,0.97,4
360,agente_fixo,118.97,122
360,agente_q,-0.21000000000000085,122
361,agente_fixo,29.97,33
361,agente_q,0.6799999999999999,33
362,agente_fixo,91.97,95
362,agente_q,0.05999999999999939,95
363,agente_fixo,2.9699999999999998,6
363,agente_q,0.95,6
364,agente_fixo,20.97,24
364,agente_q,0.7699999999999999,24
365,agente_fixo,31.97,35
365,agente_q,0.6599999999999999,35
366,agente_fixo,19.97,23
366,agente_q,0.7799999999999999,23
367,agente_fixo,3.9699999999999998,7
367,agente_q,0.94,7
368,agente_fixo,27.97,31
368,agente_q,0.7,31
369,agente_fixo,10.969999999999999,14
369,agente_q,0.87,14
370,agente_fixo,6.97,10
370,agente_q,0.91,10
371,agente_fixo,49.97,53
371,agente_q,0.47999999999999976,53
372,agente_fixo,11.969999999999999,15
372,agente_q,0.86,15
373,agente_fixo,21.97,25
373,agente_q,0.7599999999999999,25
374,agente_fixo,68.97,72
374,agente_q,0.2899999999999996,72
375,agente_fixo,38.97,42
375,agente_q,0.5899999999999999,42
376,agente_fixo,7.97,11
376,agente_q,0.9,11
377,agente_fixo,33.97,37
377,agente_q,0.6399999999999999,37
378,agente_fixo,31.97,35
378,agente_q,0.6599999999999999,35
379,agente_fixo,41.97,45
379,agente_q,0.5599999999999998,45
380,agente_fixo,25.97,29
380,agente_q,0.72,29
381,agente_fixo,8.969999999999999,12
381,agente_q,0.89,12
382,agente_fixo,52.97,56
382,agente_q,0.44999999999999973,56
383,agente_fixo,3.9699999999999998,7
383,agente_q,0.94,7
384,agente_fixo,74.97,78
